REEF_SITE,TRANSECT_NO,YEAR,MONTH,SURVEY_DATE,GROWTH_FORM,BLEACH_STATUS,ABUNDANCE
MH4,1,2014,SEP,19/09/14,Branching,FB,0
MH4,1,2014,SEP,19/09/14,Branching,PB,19
MH4,1,2014,SEP,19/09/14,Branching,H,28
MH4,1,2014,SEP,19/09/14,Plate,FB,0
MH4,1,2014,SEP,19/09/14,Plate,PB,1
MH4,1,2014,SEP,19/09/14,Plate,H,22
MH4,1,2014,SEP,19/09/14,Solitary,FB,0
MH4,1,2014,SEP,19/09/14,Solitary,PB,0
MH4,1,2014,SEP,19/09/14,Solitary,H,13
MH4,2,2014,SEP,19/09/14,Massive,FB,0
MH4,2,2014,SEP,19/09/14,Massive,PB,14
MH4,2,2014,SEP,19/09/14,Massive,H,84
MH4,2,2014,SEP,19/09/14,Branching,FB,0
MH4,2,2014,SEP,19/09/14,Branching,PB,5
MH4,2,2014,SEP,19/09/14,Branching,H,40
MH4,2,2014,SEP,19/09/14,Plate,FB,0
MH4,2,2014,SEP,19/09/14,Plate,PB,1
MH4,2,2014,SEP,19/09/14,Plate,H,33
MH4,2,2014,SEP,19/09/14,Solitary,FB,0
MH4,2,2014,SEP,19/09/14,Solitary,PB,1
MH4,2,2014,SEP,19/09/14,Solitary,H,13
MH4,3,2014,SEP,19/09/14,Massive,FB,0
MH4,3,2014,SEP,19/09/14,Massive,PB,22
MH4,3,2014,SEP,19/09/14,Massive,H,74
MH4,3,2014,SEP,19/09/14,Branching,FB,0
MH4,3,2014,SEP,19/09/14,Branching,PB,5
MH4,3,2014,SEP,19/09/14,Branching,H,39
MH4,3,2014,SEP,19/09/14,Plate,FB,0
MH4,3,2014,SEP,19/09/14,Plate,PB,5
MH4,3,2014,SEP,19/09/14,Plate,H,32
MH4,3,2014,SEP,19/09/14,Solitary,FB,0
MH4,3,2014,SEP,19/09/14,Solitary,PB,0
MH4,3,2014,SEP,19/09/14,Solitary,H,10
HK,1,2014,OCT,5/10/14,Massive,FB,0
HK,1,2014,OCT,5/10/14,Massive,PB,10
HK,1,2014,OCT,5/10/14,Massive,H,10
HK,1,2014,OCT,5/10/14,Branching,FB,0
HK,1,2014,OCT,5/10/14,Branching,PB,6
HK,1,2014,OCT,5/10/14,Branching,H,7
HK,1,2014,OCT,5/10/14,Plate,FB,0
HK,1,2014,OCT,5/10/14,Plate,PB,1
HK,1,2014,OCT,5/10/14,Plate,H,9
HK,1,2014,OCT,5/10/14,Solitary,FB,1
HK,1,2014,OCT,5/10/14,Solitary,PB,0
HK,1,2014,OCT,5/10/14,Solitary,H,4
HK,2,2014,OCT,5/10/14,Massive,FB,0
